Date,Category,Amount,Description
2021-04-28,Pets,83.23,Pets Expense
2021-04-30,Sports,33.22,Sports Expense
2021-05-01,Travel,4701.99,Travel Expense
2021-05-02,Clothing,210.69,Clothing Expense
2021-05-03,Coffee,11.32,Coffee Expense
2021-05-03,Pets,89.73,Pets Expense
2021-05-04,Pets,20.21,Pets Expense
2021-05-05,Gifts,94.73,Gifts Expense
2021-05-05,Coffee,11.83,Coffee Expense
2021-05-06,Coffee,12.55,Coffee Expense
2021-05-07,Pets,15.55,Pets Expense
2021-05-08,Books,28.61,Books Expense
2021-05-08,Grocery,132.46,Grocery Expense
2021-05-08,Dining,197.58,Dining Expense
2021-05-09,Beauty,20.29,Beauty Expense
2021-05-09,Shopping,353.59,Shopping Expense
2021-05-09,Healthcare,44.52,Healthcare Expense
2021-05-09,Utilities,215.91,Utilities Expense
2021-05-10,Dining,97.42,Dining Expense
2021-05-10,Coffee,7.25,Coffee Expense
2021-05-11,Pets,33.74,Pets Expense
2021-05-11,Coffee,13.69,Coffee Expense
2021-05-11,Travel,3825.62,Travel Expense
2021-05-11,Grocery,83.93,Grocery Expense
2021-05-11,Healthcare,42.27,Healthcare Expense
2021-05-12,Travel,143.17,Travel Expense
2021-05-12,Travel,4556.0,Travel Expense
2021-05-12,Entertainment,261.58,Entertainment Expense
2021-05-13,Clothing,239.34,Clothing Expense
2021-05-13,Housing,1726.47,Housing Expense
2021-05-14,Travel,1138.71,Travel Expense
2021-05-14,Entertainment,35.03,Entertainment Expense
2021-05-15,Sports,62.54,Sports Expense
2021-05-15,Coffee,6.76,Coffee Expense
2021-05-18,Coffee,13.08,Coffee Expense
2021-05-19,Utilities,189.1,Utilities Expense
2021-05-19,Books,33.43,Books Expense
2021-05-19,Books,48.71,Books Expense
2021-05-19,Sports,40.29,Sports Expense
2021-05-20,Housing,1386.66,Housing Expense
2021-05-23,Fitness,139.84,Fitness Expense
2021-05-24,Grocery,174.84,Grocery Expense
2021-05-24,Food,113.17,Food Expense
2021-05-25,Housing,906.47,Housing Expense
2021-05-25,Entertainment,42.28,Entertainment Expense
2021-05-25,Education,921.22,Education Expense
2021-05-26,Transportation,50.32,Transportation Expense
2021-05-27,Books,43.63,Books Expense
2021-05-27,Beauty,198.99,Beauty Expense
2021-05-27,Transportation,20.53,Transportation Expense
2021-05-28,Healthcare,413.91,Healthcare Expense
2021-05-28,Sports,89.55,Sports Expense
2021-05-28,Electronics,922.63,Electronics Expense
2021-05-29,Beauty,103.63,Beauty Expense
2021-05-29,Sports,111.3,Sports Expense
2021-06-01,Healthcare,444.73,Healthcare Expense
2021-06-02,Coffee,12.28,Coffee Expense
2021-06-02,Electronics,1035.15,Electronics Expense
2021-06-03,Travel,2753.58,Travel Expense
2021-06-04,Housing,1181.66,Housing Expense
2021-06-04,Food,62.19,Food Expense
2021-06-05,Grocery,79.08,Grocery Expense
2021-06-06,Travel,788.06,Travel Expense
2021-06-06,Electronics,1423.23,Electronics Expense
2021-06-06,Dining,77.43,Dining Expense
2021-06-08,Dining,119.42,Dining Expense
2021-06-08,Gifts,198.05,Gifts Expense
2021-06-08,Gifts,168.67,Gifts Expense
2021-06-08,Gifts,135.71,Gifts Expense
2021-06-08,Food,91.31,Food Expense
2021-06-08,Beauty,97.27,Beauty Expense
2021-06-08,Beauty,45.5,Beauty Expense
2021-06-09,Books,17.56,Books Expense
2021-06-09,Healthcare,62.63,Healthcare Expense
2021-06-09,Pets,28.06,Pets Expense
2021-06-10,Shopping,188.08,Shopping Expense
2021-06-11,Education,898.8,Education Expense
2021-06-11,Sports,30.44,Sports Expense
2021-06-12,Utilities,114.45,Utilities Expense
2021-06-12,Transportation,90.32,Transportation Expense
2021-06-12,Books,36.28,Books Expense
2021-06-13,Travel,3615.62,Travel Expense
2021-06-14,Healthcare,389.85,Healthcare Expense
2021-06-15,Books,26.54,Books Expense
2021-06-16,Sports,176.37,Sports Expense
2021-06-17,Travel,3805.91,Travel Expense
2021-06-18,Beauty,143.38,Beauty Expense
2021-06-18,Food,138.39,Food Expense
2021-06-20,Electronics,735.8,Electronics Expense
2021-06-20,Fitness,76.18,Fitness Expense
2021-06-20,Gifts,52.47,Gifts Expense
2021-06-21,Pets,89.01,Pets Expense
2021-06-21,Beauty,51.27,Beauty Expense
2021-06-22,Dining,120.77,Dining Expense
2021-06-23,Utilities,214.02,Utilities Expense
2021-06-25,Travel,288.83,Travel Expense
2021-06-26,Education,130.9,Education Expense
2021-06-26,Housing,1154.43,Housing Expense
2021-06-27,Pets,39.58,Pets Expense
2021-06-28,Shopping,310.84,Shopping Expense
2021-06-28,Clothing,259.01,Clothing Expense
2021-06-28,Healthcare,432.8,Healthcare Expense
2021-06-30,Healthcare,404.5,Healthcare Expense
2021-06-30,Healthcare,278.02,Healthcare Expense
2021-07-01,Housing,1616.76,Housing Expense
2021-07-01,Entertainment,242.32,Entertainment Expense
2021-07-02,Gifts,62.63,Gifts Expense
2021-07-02,Travel,4223.09,Travel Expense
2021-07-02,Electronics,1051.71,Electronics Expense
2021-07-02,Food,24.8,Food Expense
2021-07-03,Shopping,113.89,Shopping Expense
2021-07-03,Shopping,353.75,Shopping Expense
2021-07-03,Coffee,8.72,Coffee Expense
2021-07-05,Transportation,17.14,Transportation Expense
2021-07-07,Food,142.44,Food Expense
2021-07-07,Grocery,177.56,Grocery Expense
2021-07-08,Gifts,180.85,Gifts Expense
2021-07-09,Food,56.77,Food Expense
2021-07-10,Grocery,168.85,Grocery Expense
2021-07-10,Transportation,70.91,Transportation Expense
2021-07-11,Electronics,1513.84,Electronics Expense
2021-07-12,Sports,55.89,Sports Expense
2021-07-13,Shopping,132.97,Shopping Expense
2021-07-13,Entertainment,109.47,Entertainment Expense
2021-07-14,Books,20.56,Books Expense
2021-07-14,Shopping,344.63,Shopping Expense
2021-07-14,Utilities,242.21,Utilities Expense
2021-07-16,Gifts,67.99,Gifts Expense
2021-07-17,Grocery,166.21,Grocery Expense
2021-07-17,Shopping,202.94,Shopping Expense
2021-07-17,Grocery,187.17,Grocery Expense
2021-07-18,Sports,140.75,Sports Expense
2021-07-18,Entertainment,183.57,Entertainment Expense
2021-07-18,Housing,2278.17,Housing Expense
2021-07-18,Shopping,77.83,Shopping Expense
2021-07-19,Shopping,190.56,Shopping Expense
2021-07-20,Books,28.17,Books Expense
2021-07-20,Housing,1503.93,Housing Expense
2021-07-20,Transportation,8.18,Transportation Expense
2021-07-20,Pets,56.29,Pets Expense
2021-07-21,Education,219.5,Education Expense
2021-07-22,Clothing,99.05,Clothing Expense
2021-07-22,Utilities,247.6,Utilities Expense
2021-07-22,Grocery,153.05,Grocery Expense
2021-07-22,Grocery,100.68,Grocery Expense
2021-07-24,Entertainment,230.68,Entertainment Expense
2021-07-24,Clothing,40.21,Clothing Expense
2021-07-24,Fitness,141.53,Fitness Expense
2021-07-24,Electronics,1619.02,Electronics Expense
2021-07-26,Shopping,95.91,Shopping Expense
2021-07-26,Beauty,90.03,Beauty Expense
2021-07-27,Coffee,11.93,Coffee Expense
2021-07-27,Gifts,75.99,Gifts Expense
2021-07-28,Entertainment,191.01,Entertainment Expense
2021-07-29,Sports,29.19,Sports Expense
2021-07-30,Food,48.29,Food Expense
2021-08-01,Clothing,56.16,Clothing Expense
2021-08-02,Travel,1775.58,Travel Expense
2021-08-02,Travel,3676.96,Travel Expense
2021-08-03,Entertainment,197.1,Entertainment Expense
2021-08-03,Transportation,53.13,Transportation Expense
2021-08-03,Books,25.1,Books Expense
2021-08-06,Travel,4731.68,Travel Expense
2021-08-06,Pets,34.04,Pets Expense
2021-08-07,Sports,30.88,Sports Expense
2021-08-07,Fitness,92.44,Fitness Expense
2021-08-07,Transportation,53.26,Transportation Expense
2021-08-08,Pets,87.2,Pets Expense
2021-08-08,Sports,117.64,Sports Expense
2021-08-09,Utilities,254.08,Utilities Expense
2021-08-11,Healthcare,24.54,Healthcare Expense
2021-08-11,Beauty,33.28,Beauty Expense
2021-08-12,Coffee,12.31,Coffee Expense
2021-08-13,Grocery,98.89,Grocery Expense
2021-08-13,Shopping,337.68,Shopping Expense
2021-08-14,Coffee,8.28,Coffee Expense
2021-08-14,Food,149.15,Food Expense
2021-08-15,Electronics,1855.39,Electronics Expense
2021-08-15,Gifts,151.73,Gifts Expense
2021-08-15,Travel,881.05,Travel Expense
2021-08-17,Travel,4157.88,Travel Expense
2021-08-18,Grocery,74.24,Grocery Expense
2021-08-18,Housing,2350.22,Housing Expense
2021-08-19,Dining,79.55,Dining Expense
2021-08-20,Travel,346.11,Travel Expense
2021-08-20,Food,127.41,Food Expense
2021-08-21,Utilities,140.53,Utilities Expense
2021-08-22,Clothing,167.8,Clothing Expense
2021-08-22,Clothing,154.19,Clothing Expense
2021-08-23,Food,21.22,Food Expense
2021-08-23,Pets,79.34,Pets Expense
2021-08-25,Travel,2395.85,Travel Expense
2021-08-26,Sports,38.9,Sports Expense
2021-08-27,Sports,120.1,Sports Expense
2021-08-27,Sports,126.15,Sports Expense
2021-08-27,Shopping,87.81,Shopping Expense
2021-08-27,Transportation,30.66,Transportation Expense
2021-08-29,Clothing,222.71,Clothing Expense
2021-08-30,Utilities,152.12,Utilities Expense
2021-08-30,Coffee,7.39,Coffee Expense
2021-08-31,Gifts,119.73,Gifts Expense
2021-09-01,Sports,81.61,Sports Expense
2021-09-02,Coffee,14.64,Coffee Expense
2021-09-04,Clothing,100.84,Clothing Expense
2021-09-04,Dining,117.71,Dining Expense
2021-09-05,Beauty,20.23,Beauty Expense
2021-09-05,Electronics,741.74,Electronics Expense
2021-09-06,Healthcare,27.89,Healthcare Expense
2021-09-06,Shopping,134.78,Shopping Expense
2021-09-07,Pets,10.28,Pets Expense
2021-09-08,Electronics,217.39,Electronics Expense
2021-09-09,Dining,110.5,Dining Expense
2021-09-09,Sports,197.86,Sports Expense
2021-09-10,Housing,2660.91,Housing Expense
2021-09-10,Transportation,40.6,Transportation Expense
2021-09-10,Housing,2062.37,Housing Expense
2021-09-11,Coffee,12.45,Coffee Expense
2021-09-14,Transportation,91.91,Transportation Expense
2021-09-15,Electronics,439.72,Electronics Expense
2021-09-15,Beauty,127.1,Beauty Expense
2021-09-16,Coffee,7.62,Coffee Expense
2021-09-16,Utilities,65.71,Utilities Expense
2021-09-17,Beauty,128.62,Beauty Expense
2021-09-19,Grocery,95.37,Grocery Expense
2021-09-20,Education,506.86,Education Expense
2021-09-20,Utilities,163.88,Utilities Expense
2021-09-21,Coffee,8.12,Coffee Expense
2021-09-21,Housing,1745.9,Housing Expense
2021-09-24,Gifts,32.79,Gifts Expense
2021-09-25,Travel,1260.16,Travel Expense
2021-09-25,Transportation,59.65,Transportation Expense
2021-09-25,Electronics,689.65,Electronics Expense
2021-09-25,Sports,73.39,Sports Expense
2021-09-26,Travel,2129.96,Travel Expense
2021-09-27,Pets,68.97,Pets Expense
2021-09-28,Education,149.66,Education Expense
2021-09-29,Utilities,58.8,Utilities Expense
2021-09-29,Grocery,193.07,Grocery Expense
2021-09-29,Transportation,13.15,Transportation Expense
2021-09-29,Utilities,240.86,Utilities Expense
2021-09-29,Utilities,228.22,Utilities Expense
2021-10-01,Entertainment,214.8,Entertainment Expense
2021-10-03,Sports,157.33,Sports Expense
2021-10-03,Entertainment,197.21,Entertainment Expense
2021-10-03,Food,102.32,Food Expense
2021-10-04,Transportation,61.39,Transportation Expense
2021-10-04,Electronics,1255.81,Electronics Expense
2021-10-04,Books,16.68,Books Expense
2021-10-05,Sports,94.61,Sports Expense
2021-10-05,Sports,69.19,Sports Expense
2021-10-05,Travel,2077.01,Travel Expense
2021-10-05,Travel,1811.04,Travel Expense
2021-10-06,Fitness,79.66,Fitness Expense
2021-10-06,Education,637.3,Education Expense
2021-10-07,Housing,2603.38,Housing Expense
2021-10-08,Dining,176.25,Dining Expense
2021-10-08,Electronics,664.19,Electronics Expense
2021-10-09,Pets,72.99,Pets Expense
2021-10-09,Utilities,90.56,Utilities Expense
2021-10-11,Shopping,207.78,Shopping Expense
2021-10-11,Books,10.45,Books Expense
2021-10-11,Dining,37.06,Dining Expense
2021-10-13,Beauty,164.63,Beauty Expense
2021-10-13,Pets,70.28,Pets Expense
2021-10-13,Clothing,141.97,Clothing Expense
2021-10-13,Grocery,49.74,Grocery Expense
2021-10-14,Coffee,10.09,Coffee Expense
2021-10-14,Travel,4792.77,Travel Expense
2021-10-15,Shopping,100.54,Shopping Expense
2021-10-15,Utilities,113.43,Utilities Expense
2021-10-17,Sports,78.36,Sports Expense
2021-10-18,Entertainment,264.4,Entertainment Expense
2021-10-19,Food,40.7,Food Expense
2021-10-19,Gifts,25.22,Gifts Expense
2021-10-19,Pets,39.09,Pets Expense
2021-10-19,Clothing,273.78,Clothing Expense
2021-10-19,Clothing,284.81,Clothing Expense
2021-10-20,Food,90.18,Food Expense
2021-10-22,Dining,111.17,Dining Expense
2021-10-23,Travel,369.35,Travel Expense
2021-10-23,Grocery,99.04,Grocery Expense
2021-10-24,Gifts,136.45,Gifts Expense
2021-10-25,Transportation,45.31,Transportation Expense
2021-10-25,Entertainment,240.33,Entertainment Expense
2021-10-25,Dining,103.46,Dining Expense
2021-10-26,Fitness,98.88,Fitness Expense
2021-10-28,Books,34.63,Books Expense
2021-10-28,Food,88.53,Food Expense
2021-10-29,Electronics,788.69,Electronics Expense
2021-10-29,Pets,66.07,Pets Expense
2021-10-31,Grocery,41.05,Grocery Expense
2021-10-31,Gifts,119.01,Gifts Expense
2021-11-01,Travel,2999.07,Travel Expense
2021-11-02,Fitness,75.72,Fitness Expense
2021-11-02,Coffee,9.13,Coffee Expense
2021-11-03,Transportation,46.25,Transportation Expense
2021-11-03,Dining,43.5,Dining Expense
2021-11-06,Fitness,108.27,Fitness Expense
2021-11-06,Books,11.12,Books Expense
2021-11-06,Clothing,130.94,Clothing Expense
2021-11-08,Electronics,1848.39,Electronics Expense
2021-11-08,Education,487.92,Education Expense
2021-11-09,Beauty,51.86,Beauty Expense
2021-11-09,Entertainment,295.18,Entertainment Expense
2021-11-10,Coffee,5.06,Coffee Expense
2021-11-11,Clothing,146.97,Clothing Expense
2021-11-12,Healthcare,107.79,Healthcare Expense
2021-11-13,Housing,2668.67,Housing Expense
2021-11-13,Beauty,85.78,Beauty Expense
2021-11-13,Gifts,157.13,Gifts Expense
2021-11-14,Travel,1346.22,Travel Expense
2021-11-15,Beauty,22.08,Beauty Expense
2021-11-16,Shopping,24.99,Shopping Expense
2021-11-16,Dining,178.79,Dining Expense
2021-11-16,Housing,832.36,Housing Expense
2021-11-16,Grocery,189.19,Grocery Expense
2021-11-17,Transportation,90.57,Transportation Expense
2021-11-18,Travel,2371.02,Travel Expense
2021-11-19,Dining,157.62,Dining Expense
2021-11-19,Grocery,107.18,Grocery Expense
2021-11-20,Sports,27.64,Sports Expense
2021-11-21,Coffee,12.18,Coffee Expense
2021-11-21,Utilities,68.33,Utilities Expense
2021-11-22,Healthcare,153.26,Healthcare Expense
2021-11-22,Education,310.93,Education Expense
2021-11-22,Healthcare,131.57,Healthcare Expense
2021-11-23,Gifts,116.98,Gifts Expense
2021-11-24,Dining,170.81,Dining Expense
2021-11-24,Coffee,4.54,Coffee Expense
2021-11-26,Books,14.73,Books Expense
2021-11-27,Travel,1816.13,Travel Expense
2021-11-27,Books,48.31,Books Expense
2021-11-27,Grocery,186.09,Grocery Expense
2021-11-27,Housing,2000.73,Housing Expense
2021-11-28,Healthcare,417.05,Healthcare Expense
2021-11-29,Sports,53.46,Sports Expense
2021-11-29,Electronics,1321.51,Electronics Expense
2021-11-29,Beauty,165.8,Beauty Expense
2021-11-29,Shopping,172.27,Shopping Expense
2021-11-29,Shopping,168.44,Shopping Expense
2021-11-30,Sports,95.21,Sports Expense
2021-12-01,Books,18.99,Books Expense
2021-12-02,Utilities,279.68,Utilities Expense
2021-12-02,Travel,4351.04,Travel Expense
2021-12-03,Clothing,43.82,Clothing Expense
2021-12-03,Transportation,74.99,Transportation Expense
2021-12-03,Sports,94.39,Sports Expense
2021-12-03,Education,638.42,Education Expense
2021-12-03,Food,82.46,Food Expense
2021-12-03,Clothing,280.07,Clothing Expense
2021-12-04,Fitness,106.02,Fitness Expense
2021-12-06,Sports,150.3,Sports Expense
2021-12-06,Sports,193.53,Sports Expense
2021-12-07,Sports,124.45,Sports Expense
2021-12-07,Coffee,12.27,Coffee Expense
2021-12-07,Education,806.78,Education Expense
2021-12-08,Sports,105.34,Sports Expense
2021-12-11,Beauty,32.7,Beauty Expense
2021-12-12,Electronics,117.12,Electronics Expense
2021-12-12,Food,17.58,Food Expense
2021-12-13,Grocery,95.44,Grocery Expense
2021-12-13,Food,45.96,Food Expense
2021-12-13,Housing,1684.27,Housing Expense
2021-12-14,Education,114.15,Education Expense
2021-12-14,Housing,1051.6,Housing Expense
2021-12-14,Education,943.35,Education Expense
2021-12-15,Dining,76.79,Dining Expense
2021-12-16,Travel,2367.71,Travel Expense
2021-12-17,Electronics,1996.47,Electronics Expense
2021-12-18,Dining,91.59,Dining Expense
2021-12-18,Housing,2546.9,Housing Expense
2021-12-19,Shopping,169.84,Shopping Expense
2021-12-20,Fitness,74.45,Fitness Expense
2021-12-20,Gifts,158.96,Gifts Expense
2021-12-21,Coffee,10.93,Coffee Expense
2021-12-22,Coffee,3.73,Coffee Expense
2021-12-22,Grocery,114.84,Grocery Expense
2021-12-23,Utilities,206.15,Utilities Expense
2021-12-24,Shopping,193.46,Shopping Expense
2021-12-25,Beauty,89.66,Beauty Expense
2021-12-25,Utilities,108.75,Utilities Expense
2021-12-25,Food,130.46,Food Expense
2021-12-26,Gifts,48.87,Gifts Expense
2021-12-27,Coffee,4.58,Coffee Expense
2021-12-27,Transportation,39.85,Transportation Expense
2021-12-27,Travel,3083.33,Travel Expense
2021-12-27,Transportation,22.91,Transportation Expense
2021-12-28,Electronics,1581.76,Electronics Expense
2021-12-28,Healthcare,471.83,Healthcare Expense
2021-12-28,Pets,14.41,Pets Expense
2021-12-28,Travel,2269.57,Travel Expense
2021-12-28,Shopping,155.69,Shopping Expense
2021-12-29,Healthcare,40.77,Healthcare Expense
2021-12-29,Clothing,287.3,Clothing Expense
2021-12-30,Dining,197.89,Dining Expense
2021-12-30,Books,11.18,Books Expense
2021-12-31,Sports,191.2,Sports Expense
2022-01-01,Sports,85.56,Sports Expense
2022-01-02,Gifts,179.09,Gifts Expense
2022-01-03,Electronics,1579.65,Electronics Expense
2022-01-04,Food,41.16,Food Expense
2022-01-04,Entertainment,91.8,Entertainment Expense
2022-01-04,Education,896.87,Education Expense
2022-01-04,Housing,2207.49,Housing Expense
2022-01-04,Utilities,82.24,Utilities Expense
2022-01-05,Dining,31.69,Dining Expense
2022-01-06,Grocery,36.13,Grocery Expense
2022-01-06,Books,28.6,Books Expense
2022-01-07,Clothing,152.95,Clothing Expense
2022-01-07,Housing,2969.76,Housing Expense
2022-01-08,Food,57.11,Food Expense
2022-01-08,Education,495.8,Education Expense
2022-01-08,Electronics,1678.12,Electronics Expense
2022-01-09,Electronics,619.01,Electronics Expense
2022-01-10,Travel,282.13,Travel Expense
2022-01-11,Education,522.36,Education Expense
2022-01-11,Transportation,52.82,Transportation Expense
2022-01-11,Healthcare,255.79,Healthcare Expense
2022-01-12,Gifts,182.74,Gifts Expense
2022-01-12,Fitness,139.63,Fitness Expense
2022-01-13,Education,203.4,Education Expense
2022-01-14,Electronics,1080.02,Electronics Expense
2022-01-14,Shopping,307.36,Shopping Expense
2022-01-15,Pets,91.81,Pets Expense
2022-01-16,Books,32.43,Books Expense
2022-01-16,Coffee,3.21,Coffee Expense
2022-01-17,Grocery,65.27,Grocery Expense
2022-01-18,Fitness,107.67,Fitness Expense
2022-01-18,Transportation,28.95,Transportation Expense
2022-01-18,Pets,22.9,Pets Expense
2022-01-19,Pets,55.77,Pets Expense
2022-01-19,Healthcare,209.42,Healthcare Expense
2022-01-19,Electronics,864.93,Electronics Expense
2022-01-20,Clothing,62.22,Clothing Expense
2022-01-21,Coffee,9.01,Coffee Expense
2022-01-25,Food,46.08,Food Expense
2022-01-25,Books,24.34,Books Expense
2022-01-27,Electronics,752.47,Electronics Expense
2022-01-27,Dining,55.6,Dining Expense
2022-01-28,Shopping,167.19,Shopping Expense
2022-01-29,Coffee,7.72,Coffee Expense
2022-01-30,Healthcare,285.78,Healthcare Expense
2022-01-30,Transportation,11.89,Transportation Expense
2022-01-30,Travel,3178.02,Travel Expense
2022-01-30,Coffee,3.92,Coffee Expense
2022-01-30,Pets,46.07,Pets Expense
2022-01-31,Sports,29.37,Sports Expense
2022-01-31,Utilities,85.52,Utilities Expense
2022-01-31,Books,24.49,Books Expense
2022-01-31,Healthcare,392.88,Healthcare Expense
2022-01-31,Dining,184.94,Dining Expense
2022-02-01,Food,79.1,Food Expense
2022-02-01,Books,18.34,Books Expense
2022-02-02,Entertainment,204.97,Entertainment Expense
2022-02-02,Fitness,89.29,Fitness Expense
2022-02-02,Pets,83.83,Pets Expense
2022-02-04,Travel,2290.01,Travel Expense
2022-02-04,Pets,75.22,Pets Expense
2022-02-06,Beauty,37.51,Beauty Expense
2022-02-06,Healthcare,203.29,Healthcare Expense
2022-02-06,Gifts,88.71,Gifts Expense
2022-02-07,Beauty,29.43,Beauty Expense
2022-02-07,Electronics,1160.04,Electronics Expense
2022-02-09,Healthcare,469.56,Healthcare Expense
2022-02-09,Grocery,65.82,Grocery Expense
2022-02-09,Healthcare,385.89,Healthcare Expense
2022-02-09,Housing,937.3,Housing Expense
2022-02-09,Shopping,30.87,Shopping Expense
2022-02-10,Housing,2190.24,Housing Expense
2022-02-10,Education,964.53,Education Expense
2022-02-10,Travel,740.98,Travel Expense
2022-02-10,Utilities,224.12,Utilities Expense
2022-02-13,Sports,133.53,Sports Expense
2022-02-14,Shopping,122.67,Shopping Expense
2022-02-14,Shopping,312.66,Shopping Expense
2022-02-15,Coffee,10.92,Coffee Expense
2022-02-15,Entertainment,96.2,Entertainment Expense
2022-02-16,Travel,4189.41,Travel Expense
2022-02-16,Sports,102.15,Sports Expense
2022-02-17,Coffee,12.49,Coffee Expense
2022-02-17,Utilities,176.67,Utilities Expense
2022-02-20,Electronics,737.6,Electronics Expense
2022-02-20,Books,43.58,Books Expense
2022-02-21,Gifts,159.7,Gifts Expense
2022-02-21,Transportation,82.84,Transportation Expense
2022-02-21,Fitness,53.06,Fitness Expense
2022-02-22,Gifts,147.17,Gifts Expense
2022-02-22,Travel,2521.16,Travel Expense
2022-02-22,Dining,156.3,Dining Expense
2022-02-23,Grocery,101.21,Grocery Expense
2022-02-23,Sports,101.93,Sports Expense
2022-02-24,Electronics,917.37,Electronics Expense
2022-02-24,Healthcare,423.8,Healthcare Expense
2022-02-25,Electronics,1090.64,Electronics Expense
2022-02-25,Healthcare,199.83,Healthcare Expense
2022-02-25,Electronics,1774.31,Electronics Expense
2022-02-26,Sports,155.28,Sports Expense
2022-02-27,Coffee,5.27,Coffee Expense
2022-02-27,Education,880.16,Education Expense
2022-02-28,Electronics,1267.16,Electronics Expense
2022-03-01,Electronics,1494.73,Electronics Expense
2022-03-01,Grocery,86.91,Grocery Expense
2022-03-02,Food,115.77,Food Expense
2022-03-03,Utilities,229.04,Utilities Expense
2022-03-05,Healthcare,226.61,Healthcare Expense
2022-03-05,Grocery,90.88,Grocery Expense
2022-03-05,Education,967.24,Education Expense
2022-03-06,Gifts,83.77,Gifts Expense
2022-03-06,Dining,185.48,Dining Expense
2022-03-07,Dining,81.64,Dining Expense
2022-03-08,Entertainment,151.11,Entertainment Expense
2022-03-08,Books,20.22,Books Expense
2022-03-09,Beauty,103.62,Beauty Expense
2022-03-10,Education,981.64,Education Expense
2022-03-11,Pets,29.51,Pets Expense
2022-03-13,Books,43.5,Books Expense
2022-03-13,Healthcare,153.82,Healthcare Expense
2022-03-14,Dining,73.15,Dining Expense
2022-03-14,Clothing,168.0,Clothing Expense
2022-03-14,Entertainment,250.97,Entertainment Expense
2022-03-15,Food,27.54,Food Expense
2022-03-15,Coffee,5.92,Coffee Expense
2022-03-15,Food,33.27,Food Expense
2022-03-15,Electronics,1657.4,Electronics Expense
2022-03-15,Travel,4121.91,Travel Expense
2022-03-16,Pets,71.44,Pets Expense
2022-03-16,Fitness,141.85,Fitness Expense
2022-03-17,Grocery,124.88,Grocery Expense
2022-03-18,Food,114.37,Food Expense
2022-03-18,Beauty,35.29,Beauty Expense
2022-03-18,Pets,46.07,Pets Expense
2022-03-18,Gifts,68.7,Gifts Expense
2022-03-18,Transportation,11.5,Transportation Expense
2022-03-19,Education,266.1,Education Expense
2022-03-20,Clothing,129.92,Clothing Expense
2022-03-20,Dining,44.6,Dining Expense
2022-03-20,Beauty,56.46,Beauty Expense
2022-03-20,Education,804.69,Education Expense
2022-03-21,Travel,216.35,Travel Expense
2022-03-21,Transportation,63.08,Transportation Expense
2022-03-21,Electronics,411.96,Electronics Expense
2022-03-21,Travel,428.26,Travel Expense
2022-03-22,Housing,1516.52,Housing Expense
2022-03-23,Sports,119.12,Sports Expense
2022-03-23,Transportation,33.94,Transportation Expense
2022-03-23,Housing,2107.85,Housing Expense
2022-03-24,Sports,150.38,Sports Expense
2022-03-24,Coffee,9.16,Coffee Expense
2022-03-24,Sports,191.08,Sports Expense
2022-03-25,Grocery,102.18,Grocery Expense
2022-03-25,Clothing,166.98,Clothing Expense
2022-03-26,Shopping,30.06,Shopping Expense
2022-03-26,Books,44.04,Books Expense
2022-03-26,Sports,88.42,Sports Expense
2022-03-26,Transportation,58.96,Transportation Expense
2022-03-26,Shopping,38.82,Shopping Expense
2022-03-27,Books,20.25,Books Expense
2022-03-27,Electronics,1155.76,Electronics Expense
2022-03-27,Transportation,14.21,Transportation Expense
2022-03-27,Shopping,278.6,Shopping Expense
2022-03-28,Travel,864.69,Travel Expense
2022-03-28,Dining,42.84,Dining Expense
2022-03-29,Clothing,180.14,Clothing Expense
2022-03-29,Electronics,159.69,Electronics Expense
2022-03-30,Shopping,273.69,Shopping Expense
2022-04-01,Electronics,241.24,Electronics Expense
2022-04-01,Utilities,84.87,Utilities Expense
2022-04-02,Coffee,14.91,Coffee Expense
2022-04-02,Pets,99.24,Pets Expense
2022-04-02,Fitness,98.81,Fitness Expense
2022-04-03,Food,138.59,Food Expense
2022-04-04,Beauty,122.1,Beauty Expense
2022-04-04,Grocery,176.83,Grocery Expense
2022-04-05,Electronics,1434.19,Electronics Expense
2022-04-06,Travel,4610.25,Travel Expense
2022-04-06,Healthcare,179.44,Healthcare Expense
2022-04-07,Pets,37.3,Pets Expense
2022-04-07,Transportation,48.66,Transportation Expense
2022-04-07,Fitness,77.01,Fitness Expense
2022-04-07,Food,98.77,Food Expense
2022-04-08,Food,43.66,Food Expense
2022-04-09,Beauty,25.26,Beauty Expense
2022-04-09,Pets,80.77,Pets Expense
2022-04-09,Entertainment,139.58,Entertainment Expense
2022-04-10,Housing,1115.74,Housing Expense
2022-04-10,Fitness,60.91,Fitness Expense
2022-04-10,Entertainment,288.83,Entertainment Expense
2022-04-10,Transportation,26.43,Transportation Expense
2022-04-10,Education,768.18,Education Expense
2022-04-10,Grocery,79.91,Grocery Expense
2022-04-11,Shopping,263.96,Shopping Expense
2022-04-11,Dining,119.68,Dining Expense
2022-04-11,Pets,71.84,Pets Expense
2022-04-11,Entertainment,101.24,Entertainment Expense
2022-04-12,Electronics,1682.45,Electronics Expense
2022-04-12,Books,19.94,Books Expense
2022-04-13,Utilities,139.39,Utilities Expense
2022-04-13,Housing,1944.36,Housing Expense
2022-04-13,Education,703.52,Education Expense
2022-04-14,Fitness,41.62,Fitness Expense
2022-04-14,Shopping,414.51,Shopping Expense
2022-04-15,Utilities,297.02,Utilities Expense
2022-04-15,Healthcare,118.21,Healthcare Expense
